Strategy,Portfolio,Future,h*,Contracts,Contract_Value
Single-Future,MSCI World,SP500,0.940134900390688,2237,470049625.0
Single-Future,MSCI EM,FTSE_EM,0.9280788241572093,2777,185586910.0
Single-Future,MSCI Europe,SP500,0.8521584956719891,710,149188750.0
Single-Future,MSCI Pacific,NIKKEI,0.806647681963029,889,128993900.0
Multi-Future,MSCI World,SP500,0.9401349003906885,2237,470049625.0
Multi-Future,MSCI EM,FTSE_EM,0.9280788241572097,2777,185586910.0
Multi-Future,MSCI Europe,SP500,0.46152071359744984,384,80688000.0
Multi-Future,MSCI Europe,NIKKEI,0.5117800046124784,617,89526700.0
Multi-Future,MSCI Pacific,FTSE_EM,0.29858481847805424,715,47783450.0
Multi-Future,MSCI Pacific,NIKKEI,0.5954249406121014,657,95330700.0
Firm-Wide-4F,Firm-Wide,SP500,0.4537907113709738,2235,469629375.0
Firm-Wide-4F,Firm-Wide,FTSE_EM,0.31417898860112853,4866,325194780.0
Firm-Wide-4F,Firm-Wide,CHINA50,-0.015441342865141474,-390,15980250.0
Firm-Wide-4F,Firm-Wide,NIKKEI,0.2335080862001599,1666,241736600.0
Firm-Wide-3F,Firm-Wide,SP500,0.45802233441197865,2256,474042000.0
Firm-Wide-3F,Firm-Wide,FTSE_EM,0.299586929051382,4640,310091200.0
Firm-Wide-3F,Firm-Wide,NIKKEI,0.23052542114969607,1644,238544400.0
Firm-Wide-2F,Firm-Wide,SP500,0.5936849824928189,2924,614405500.0
Firm-Wide-2F,Firm-Wide,NIKKEI,0.3244141060791164,2314,335761400.0
